schema_name
AZURE
AZURE_Reporting
Coop_Historical
db_accessadmin
db_backupoperator
db_datareader
db_datawriter
db_ddladmin
db_denydatareader
db_denydatawriter
db_owner
db_securityadmin
dbo
EDI
ERP
ERP_Backup_3112024
ERP_ML
ERP_Reporting
ERP_Test
ERP_TRN
eShippingTranstream
guest
INFORMATION_SCHEMA
SALES
SHAREPOINT
SHAREPOINT_Reporting
sys
VORNE_Reporting
WORKDAY
