,LQ Code New,LQ Name,Density Lower Limit,Density Upper Limit,pH Lower Limit,pH Upper Limit,Spindle,Speed,Viscosity Lower Limit,Viscosity Upper Limit,Odor,Appearance,Color Lower Limit,Color Upper Limit,Clarity Lower Limit,Clarity Upper Limit,Liquid Item Status,Solids Lower Limit,Solids Upper Limit,FH First Reading Lower Limit,FH First Reading Upper Limit,FH Second Reading Lower Limit,FH Second Reading Upper Limit,Assumed Density (lb/gal),Comments,Density Ref Only,RAC LSL,RAC USL,RYM LSL,RYM USL,PATH LSL,PATH USL,Viscosity Data Collection Setting,Viscosity Averaging Time (min),End Condition (min),F36,F37,F38,F39,ReviewedDate,ReviewedBy
284,LQSP-ERBL,LQ TC Endurascent Raspberry Lime Deodorizing Spray,7.9002,8.7318,5.5,8.0,,,,,Fruity,Water-Thin Liquid,Colorless,Yellow,Clear,Slightly Hazy,L,2.6,3.9,,,,,8.3098,NB Ref: SH-002-147,,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
285,LQSP-EWA ,TropiClean Watermelon Deodorizing Spray,8.2428,8.5428,6.0,8.0,,,,,"Fruity, Watermelon",Water Thin,Clear,Light Blue,Clear,Haxy,L,2.65,3.65,,,,,8.3928,,8.3928,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
286,LQSP-FA,LQ SP Fall Harvest SOM Sep/Oct,8.09,8.43,6.0,8.0,N/A,N/A,,,Spice Apple,Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,P,0.88,1.63,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
287,LQSP-FHSH,LQ Spa Lavish For Him Shampoo,8.47,8.79,5.0,7.0,LV63,2.5,6000.0,30000.0,Musk,Liquid,N/A,Brown,N/A,Opaque,F,15.42,23.12,135,175,125,165,8.6,"COA vis range was 6,000 - 30000",,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
288,LQSP-FHSH-RT,LQ Spa Lavish For Him Shampoo Retail,8.46,8.78,6.3,7.0,LV63,2.5,7000.0,21000.0,Musk,Liquid,N/A,Brown,N/A,Opaque,F,13.59,20.39,130,170,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
289,LQSP-FHSP,LQ Spa Lavish For Him Cologne,8.13,8.45,2.0,4.5,N/A,N/A,,,Musk,Water Thin,N/A,Brown,Clear,Hazy,F,3.20,4.80,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
290,LQSP-FRSH,LQ Spa Lavish Fresh Shampoo,8.51,8.83,6.0,7.5,LV63,2.5,8000.0,20000.0,Floral,Liquid,N/A,Blue,N/A,Opaque,F,15.42,23.12,135,175,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
291,LQSP-FRSH-RT,LQ Spa Lavish Fresh Shampoo Retail,8.51,8.83,6.0,7.5,LV63,2.5,7000.0,20000.0,Floral,Liquid,N/A,Blue,N/A,Opaque,F,13.62,20.42,130,170,120,160,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
292,LQSP-FRSP,LQ Spa Lavish Fresh Deod Cologne,8.14,8.46,2.0,4.5,N/A,N/A,,,Exotic,Water Thin,N/A,Light Blue,Clear,Hazy,F,2.88,4.32,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
293,LQSP-FTCT,LQ Natural Flea & Tick Cat SP,8.3115,8.6115,4.0,6.0,,,,,"Cedarwood, Rosemary",Water Thin,Colorless,Pale Yellow,Clear,Clear,L,4.5,5.5,28,30,8,10,8.4615,Ref. CK-009-098 & NS-002-002,,,,,,,,,,,,,,,,
294,LQSP-HS,OxyMed Medicated Hot Spot Spray,8.3367,8.6367,4.0,5.0,,,,,"Fruity, Gourmand",Water Thin,Colorless,Colorless,Clear,Clear,L,8.17,9.17,,,,,8.4867,,8.4867,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
295,LQSP-HY,LQ SP Honey Almond Latte SOM Jan/Feb,8.09,8.43,6.0,8.0,N/A,N/A,,,"Sweet, Cream, Honey",Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,P,0.89,1.65,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
296,LQSP-IA,Itch and Allergy Spray,8.3,8.9,5.0,7.0,62,12,500.0,1500.0,Characeteristic,Slightly Viscous Liquid,Off White,Beige,Cloudy,Opaque,L,9,13,N/A,N/A,N/A,N/A,8.6356,Ref: SH-004-062,8.6356,,,,,,,Single Point Average,1.0,2.0,,,,,,
297,LQSP-JO,LQ Spray Essentials- Jojoba Oil,8.18,8.52,6.0,8.0,N/A,N/A,,,"Sweet, Caramel",Water Thin,Colorless,Yellow,Clear,Hazy,F,1.5,2.8,N/A,N/A,N/A,N/A,8.3579,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
298,LQSP-KTQC,LQ Spray Kaytee Quick Clean,8.15,8.47,6.0,8.0,N/A,N/A,,,"Fruity, Floral",Water Thin,N/A,Blue,Clear,Hazy,F,0.59,0.89,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
299,LQSP-LM,LQ Lime and Coconut Deodorizing Spray,8.11,8.43,6.0,8.0,N/a,N/a,,,"Fruity, Citrus",Water Thin,Colorless,Blue,Clear,Hazy,L,1.7,2.56,N/a,N/a,N/a,N/a,8.27,,,,,,,,,,,,,,,,,
300,LQSP-LS,LQ SP Let it Snow SOM Nov/Dec,8.09,8.43,6.0,8.0,N/A,N/A,,,Sweet Mint,Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,P,0.78,1.44,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
301,LQSP-MI,Tropiclean Mass - Medicated Itch Relief Spray ,8.0185,8.6862,4.0,6.0,,,,,"Herbaceous, Floral ",Water-Thin,Tan,Tan,Opaque,Hazy,L,3.213,5.967,,,,,8.4406,,8.4406,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
302,LQSP-MJ,LQ SP Sparkling Mojito SOM Jul/Aug,8.09,8.43,6.0,8.0,N/A,N/A,,,"Lime, Mint",Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,P,0.83,1.55,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
303,LQSP-MNOCFM,LQ-Oral Care Foam/Spray for Dogs,8.6049,8.7105,3.0,4.0,N/A,N/A,,,Fresh,Water Thin,Colorless,Pale Yellow,Clear,Clear,F,16.16,24.24,N/A,N/A,N/A,N/A,8.66,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
304,LQSP-NRCD,LQ Spa Lavish Nourish Conditioner,7.85,8.17,5.0,6.5,LV63,2.5,10000.0,22000.0,Floral,Viscous,Pale Yellow,Yellow,N/A,Opaque,F,3.72,5.58,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
305,LQSP-PBOC,LQ-Oral Care Spray Peanut Butter for Dog,8.49,8.81,3.0,4.0,N/A,N/A,,,"Gourmand, Fruity",Water Thin,Colorless,Pale Yellow,Clear,Clear,P,16.08,24.12,N/A,N/A,N/A,N/A,8.65,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
306,LQSP-PFTR,LQ SP - PF Tangle Remover,8.21,8.53,6.0,8.0,N/A,N/A,,,Sweet Citrus,Water Thin,Colorless,Tan,Clear,Hazy,F,1.552,2.328,N/A,N/A,N/A,N/A,8.37,copied from LQPF-TRSP,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
307,LQSP-PPPI,Pet Preferred Pineapple Leave in Conditioner Spray,8.2246,8.5246,5.0,7.0,N/A,,,,"Sweet, Pineapple",Water Thin,Yellow,Orange,Clear,Clear,L,2,3,N/A,N/A,N/A,N/A,8.3746,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
308,LQSP-PPSH,LQ Spa Lavish Paw & Pad Treatment,8.1,8.42,2.0,4.0,LV63,2.5,10000.0,35000.0,"Fresh, Fruity",Viscous,Light Blue,Green,N/A,Opaque,F,6.66,9.98,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
309,LQSP-PPSNP,Pet Preferred Deodorizing Spray- Sunny Peach,7.871,8.7,6.0,8.0,N/A,N/A,,,"Fruity, Peach",Water Thin,Colorless,Light Blue,Clear,Hazy,L,0.959,1.781,N/A,N/A,N/A,N/A,8.2853,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
310,LQSP-PRSH,LQ Spa Lavish Pure Shampoo Concentrated,8.43,8.75,6.0,8.0,LV63,2.5,5000.0,16000.0,"Floral, Fresh",Viscous,N/A,Colorless,Clear,Hazy,F,13.20,19.80,140,180,130,170,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
311,LQSP-PRSH-RT,LQ SP Pure Shampoo Retail,8.39,8.71,6.0,8.0,LV63,2.5,2000.0,10000.0,Floral,Viscous,N/A,Colorless,Clear,Hazy,F,8.60,12.90,105,145,100,140,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
312,LQSP-PSHY-RT,LQ PL Hydrating Spray RT,8.19,8.51,7.0,9.0,N/A,N/A,,,"Herbaceous, Fresh",Water Thin,N/A,Colorless,Clear,Slightly Hazy,F,1.45,2.17,N/A,N/A,N/A,N/A,8.35,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
313,LQSP-PSSY-RT,LQ PS Quick-Dry Styling Spray RT,,,7.0,9.0,N/A,N/A,,,"Herbaceous, Fresh",Water Thin,White,Off White,N/A,Opaque,F,3.69,5.53,N/A,N/A,N/A,N/A,8.34,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
314,LQSP-PSSY-RT-R2,LQ PS Quick-Dry Styling Spray RT R2,7.8984,8.7299,7.0,9.0,,,,,"Herbaceous, Fresh",Water-Thin,Colorless,Blue Hue,Clear,Hazy,F,1.911,3.549,,,,,8.3142,Ref: BW-004-080,Yes,,,,,,,,,,,,,,,
315,LQSP-RF,LQ NP Fresh & Soothing Refresh Spray,8.14,8.46,6.0,8.0,N/A,N/A,,,Floral,Water Thin,Colorless,Pale Yellow,Clear,Hazy,F,7.57,11.35,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
316,LQSP-RNSH,LQ Spa Lavish Renew Shampoo,8.49,8.81,6.0,7.0,LV63,2.5,8000.0,19000.0,Floral,Liquid,N/A,Orange,N/A,Opaque,F,16.70,25.04,140,180,135,175,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
317,LQSP-RNSH-RT,LQ Spa Lavish Renew Shampoo Retail,8.48,8.8,6.0,7.0,LV63,2.5,8000.0,27000.0,Floral,Liquid,N/A,Orange,N/A,Opaque,F,13.11,19.67,135,175,130,170,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
318,LQSP-RNSP,LQ Spa Lavish Renew Deod Spray,8.13,8.45,2.0,4.5,N/A,N/A,,,Fruity,Water Thin,N/A,Orange,Clear,Hazy,F,2.71,4.07,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
319,LQSP-RS,SP Rose Water,8.3,8.4,6.0,8.0,N/A,,,,"Floral, Rose","Clear, water-thin liquid",N/A,colorless,N/A,clear,P,0.25,1,N/A,N/A,N/A,N/A,8.3501,5/1/2023 10:56,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
320,LQSP-SBLA,F&S Long Lasting- Lavender Escape Deodorizing Spray,7.9026,8.7344,6.63,8.63,,,,,Herbaceous,Water-Thin Liquid,Colorless,Colorless,Clear,Hazy,L,2.28,3.42,,,,,8.3185,NB Ref: SH-002-052,,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
321,LQSP-SBSSU,F&S Long Lasting- Sweet Summer Deodorizing Spray,7.8993,8.7309,6.5,8.5,,,,,"Fruity, Floral",Water-Thin Liquid,Colorless,Colorless,Clear,Hazy,L,2.09,3.13,,,,,8.3151,NB Ref: SH-002-050,,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
322,LQSP-SBTZ,F&S Long Lasting- Tropical Breeze Deodorizing Spray,7.901,8.7326,6.0,8.5,,,,,"Fruity, Floral",Water-Thin Liquid,Colorless,Slightly Yellow,Clear,Hazy,L,2.51,3.77,,,,,8.3168,NB Ref: SH-002-067,,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
323,LQSP-SW,LQ SP Spring Showers SOM Mar/Apr,8.09,8.43,6.0,8.0,N/A,N/A,,,Fresh Rain ,Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,P,0.68,1.26,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
324,LQSP-TR,LQ TC Tangle Remover,7.862,8.69,6.0,8.0,,,,,Floral ,Water Thin,Colorless,Yellow,Clear,Hazy,L,1.393,2.587,,,,,8.2758,Ref: BW-004-079,,,,,,,,,,,,,,,,
325,LQSP-TSSH,LQ Spa Lavish Tear Stain Remover,8.38,8.7,6.5,7.5,LV63,2.5,4500.0,10000.0,Floral,Liquid,N/A,Blue,N/A,Opaque,F,12.50,18.74,90,130,85,125,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
326,LQSP-TXRF,LQ Spray Texture Theory Refresher,8.2,8.4,5.0,6.0,N/A,N/A,,,"Fresh, Berry",Water Thin,N/A,Colorless,Clear,Hazy,F,4,7,N/A,N/A,N/A,N/A,8.32798,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
327,LQSP-VMOC,LQ-Oral Care Spray Vanilla Mint for Dogs,8.49,8.81,3.0,4.5,N/A,N/A,,,"Gourmand, Fresh",Water Thin,Colorless,Pale Yellow,Clear,Clear,P,15.76,23.64,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
328,LQSP-WA,SP Watermelon,8.3,8.4,6.0,8.0,N/A,,,,"Sweet, Watermelon",water-thin liquid,colorless,light blue,clear,opaque,P,0.5,1,N/A,N/A,N/A,N/A,8.3505,NB number ARD-001-062,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
329,LQSP-WCSH,LQ Spa Lavish White Coat Shampoo,8.48,8.8,5.0,7.5,LV63,2.5,8000.0,25000.0,Floral,Viscous,N/A,"Dark Blue, Pearlescent",N/A,Opaque,F,16.26,24.40,135,175,130,170,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
330,LQSP-WCSH-RT,LQ Spa Lavish White Coat Shampoo Retail,8.49,8.81,5.0,7.5,LV63,2.5,10000.0,26000.0,Floral,Viscous,N/A,"Dark Blue, Pearlescent",N/A,Opaque,F,13.72,20.58,145,185,135,175,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
331,LQSP-YF,LQ Spray Essentials - Yuzu Fruit,8.18,8.52,6.0,8.0,N/A,N/A,,,"Citrus, Sweet",Water Thin,Colorless,Yellow,Clear,Hazy,F,1.2,2.3,N/A,N/A,N/A,N/A,8.3579,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
332,LQ-TEST,LQ FT Home & Pet Spray R2,8.17,8.49,6.5,8.0,N/A,N/A,0.0,0.0,"Wood, Herbaceous",Water Thin,Colorless,Orange,Clear,Hazy,F,2.94,4.42,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
333,LQTR-AFEC,LQ TropiClean Alcohol Free Ear Cleaner,8.28,8.6,1.6,3.0,N/A,N/A,,,Gourmand,Water Thin,N/A,Colorless,Clear,Clear,F,1.70,2.56,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
334,LQTR-ALSH,LQ TR Aloe and Coconut Shampoo,8.52,8.84,6.0,8.0,LV63,2.5,10000.0,30000.0,Fruity,Viscous,Colorless,Pale Yellow,Clear,Hazy,F,15.49,23.23,125,165,120,160,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
335,LQTR-ALSH-RT,LQ TR Aloe and Coconut Shampoo Retail,8.52,8.84,6.0,8.0,LV63,2.5,8000.0,17000.0,Fruity,Viscous,Colorless,Pale Yellow,Clear,Hazy,F,11.22,16.82,135,175,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
336,LQTR-AWSH,LQ TR Awapuhi and Coconut Shampoo,8.52,8.84,6.0,8.0,LV63,2.5,9000.0,26000.0,"Floral, Fruity",Viscous,Blue,Purple,Clear,Opaque,F,15.43,23.15,135,175,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
337,LQTR-AWSH-RT,LQ TR Awapuhi and Coconut Shampoo Retail,8.33,8.73,5.5,7.5,LV63,2.5,8000.0,15000.0,Fruity,Viscous,Blue,Purple,,,F,,,,,,,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
338,LQTR-BESH,LQ TropiClean Berry & Coconut Shampoo,8.5,8.82,6.0,8.0,LV63,2.5,10000.0,27000.0,Fruity,Viscous,N/A,Colorless,Clear,Hazy,F,14.10,21.14,135,175,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
339,LQTR-BESH-RT,LQ Trop Berry & Coconut Shampoo Retail,8.49,8.81,6.0,8.0,LV63,2.5,6000.0,18000.0,Fruity,Viscous,N/A,Colorless,Clear,Hazy,F,10.78,16.16,130,170,120,160,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
340,LQTR-BESP,LQ TR Berry Breeze Deod Spray,8.11,8.43,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,Colorless,Pale Yellow,Clear,Hazy,F,0.67,1.01,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
341,LQTR-BYSP,LQ TR Baby Powder Deod Spray,8.12,8.44,6.0,8.0,N/A,N/A,,,Floral,Water Thin,Colorless,Orange,Clear,Hazy,F,1.40,2.10,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
342,LQTR-DAEC,LQ TR Dual Action Ear Cleaner,8.13,8.45,1.6,3.0,N/A,N/A,,,Gourmand,Water Thin,N/A,Colorless,Clear,Hazy,F,5.50,8.26,N/A,N/A,N/A,N/A,8.1,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
343,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,8.16,8.48,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,N/A,Colorless,Clear,Hazy,F,0.44,0.66,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
344,LQTR-DRWS,LQ Dander Reducing Waterless Shampo-Cats,8.16,8.48,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,N/A,Colorless,Clear,Hazy,F,0.53,0.79,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
345,LQTR-FCWS,LQ TR Facial Cleanser WL Shampoo-Dogs,8.18,8.5,6.0,8.0,N/A,N/A,,,Gourmand,Water Thin,N/A,Colorless,Clear,Hazy,F,3.01,4.51,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
346,LQTR-FUSP,LQ TR Freshen Up Deodorizing Pet Spray,8.14,8.46,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,N/A,Colorless,Clear,Hazy,F,2.78,4.16,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
347,LQTR-GNSH,LQ TR Gentle Coconut Puppy Shampoo,8.51,8.83,6.0,8.0,LV63,2.5,10000.0,26000.0,Fruity,Viscous,Colorless,Pink,Clear,Hazy,F,15.24,22.86,125,165,115,155,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
348,LQTR-GNSH-RT,LQ TR Gentle Coconut Puppy Shampoo - RT,8.52,8.84,6.0,8.0,LV63,2.5,9000.0,18000.0,Fruity,Viscous,N/A,Colorless,Clear,Hazy,F,11.28,16.92,135,175,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
349,LQTR-HAWS,LQ TR Hypo-Allergenic Waterless Shampoo,8.16,8.48,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,N/A,Colorless,Clear,Hazy,F,0.57,0.85,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
350,LQTR-KBSP,LQ TR Kiwi Blossom Deod Spray,8.11,8.43,6.0,8.0,N/A,N/A,,,"Floral, Fruity",Water Thin,Colorless,Yellow,Clear,Hazy,F,0.54,0.82,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
351,LQTR-KWCD,LQ TR Kiwi and Cocoa Butter Conditioner,8.1,8.42,4.0,6.5,LV63,2.5,11000.0,24000.0,"Gourmand, Fruity",Viscous,White,Off White,N/A,Opaque,F,4.18,6.26,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
352,LQTR-LMCD,LQ Trop. Lime & Cocoa Butter Conditioner,7.91,8.41,3.5,6.0,LV63,2.5,10000.0,20000.0,Fruity,Viscous,N/A,White,,Opaque,F,,,,,,,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
353,LQTR-LMSH,LQ TropiClean Lime & Coconut Shampoo,8.48,8.8,4.5,6.5,LV63,2.5,10000.0,27000.0,"Citrus, Fruity",Viscous,N/A,Colorless,Clear,Hazy,F,14.85,22.27,140,180,130,170,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
354,LQTR-LMSH-RT,LQ TropiClean Lime & Coconut Sh Retail,8.45,8.77,4.5,6.5,LV63,2.5,5000.0,15000.0,"Citrus, Fruity",Viscous,N/A,Colorless,Clear,Hazy,F,9.82,14.74,130,170,120,160,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
355,LQTR-LMSP,LQ Tropiclean Lime & Coconut Deod Spray,8.11,8.43,6.0,8.0,N/A,N/A,,,"Fruity, Citrus",Water Thin,Colorless,Yellow,Clear,Hazy,F,1.70,2.56,N/A,N/A,N/A,N/A,8.3,8/7/2023 16:51,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
356,LQTR-NCSH,LQ TR Neem Citrus Shampoo,8.51,8.83,6.0,8.0,LV61,2.5,1.0,3000.0,Citrus,Viscous,Colorless,Yellow,Clear,Hazy,F,19.09,28.63,140,180,130,170,8.67,7/19/2023 8:04,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
357,LQTR-NCSH-RT,LQ TR Neem Citrus Shampoo Retail,8.43,8.75,6.0,8.0,LV61,2.5,1.0,3000.0,Citrus,Viscous,N/A,Colorless,Clear,Hazy,F,16.23,24.35,140,180,130,170,8.67,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
358,LQTR-PPSP,LQ Tropiclean Pure Plum Deod Spray,8.12,8.44,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,Colorless,Yellow,Clear,Hazy,F,1.32,1.98,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
359,LQTR-PYSH,LQ TropiClean Papaya Coconut Shampoo,8.51,8.83,6.0,8.0,LV63,2.5,14000.0,25000.0,Fruity,Viscous,Colorless,Yellow,Clear,Hazy,F,15.38,23.06,145,185,130,170,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
360,LQTR-PYSH-RT,LQ TR Papaya & Coconut Shampoo Retail,8.52,8.84,6.0,8.0,LV63,2.5,6000.0,14000.0,Fruity,Viscous,Colorless,Yellow,Clear,Hazy,F,10.76,16.14,130,170,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
361,LQTR-PYSP,LQ TropiClean Papaya Mist Deod Spray,8.12,8.44,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,N/A,Colorless,Clear,Hazy,F,1.81,2.71,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
362,LQTR-PYWS,LQ TR Papaya & Coconut Waterless Sh-Pets,8.17,8.49,6.0,8.0,N/A,N/A,,,Fruity,Water Thin,N/A,Colorless,Clear,Hazy,F,1.09,1.63,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
363,LQTR-SADT,LQ Stay Away Chew Deterrent,8.18,8.5,6.5,9.0,N/A,N/A,,,Characteristic,Water Thin,N/A,Colorless,Clear,Hazy,F,0.14,0.22,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
364,LQTR-TRSP,LQ TropiCleanTangle Remover,8.17,8.49,6.0,8.0,N/A,N/A,,,Floral,Water Thin,White,Off White,N/A,Opaque,F,1.46,2.20,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
365,LQTR-TTSH,LQ TropiClean Oatmeal & Tea Tree Shampoo,8.51,8.83,3.0,4.5,LV63,2.5,6000.0,13000.0,Herbaceous,Viscous,Colorless,Yellow,Clear,Hazy,F,16.42,24.62,140,180,130,170,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
366,LQTR-TTSH-RT,TropiClean Oatmeal & Tea Tree Sh Retail,8.48,8.8,3.0,4.5,LV63,2.5,5000.0,12000.0,Herbaceous,Viscous,Colorless,Yellow,Clear,Hazy,F,12.87,19.31,140,180,135,175,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
