,LQ Code New,LQ Name,Density Lower Limit,Density Upper Limit,pH Lower Limit,pH Upper Limit,Spindle,Speed,Viscosity Lower Limit,Viscosity Upper Limit,Odor,Appearance,Color Lower Limit,Color Upper Limit,Clarity Lower Limit,Clarity Upper Limit,Liquid Item Status,Solids Lower Limit,Solids Upper Limit,FH First Reading Lower Limit,FH First Reading Upper Limit,FH Second Reading Lower Limit,FH Second Reading Upper Limit,Assumed Density (lb/gal),Comments,Density Ref Only,RAC LSL,RAC USL,RYM LSL,RYM USL,PATH LSL,PATH USL,Viscosity Data Collection Setting,Viscosity Averaging Time (min),End Condition (min),F36,F37,F38,F39,ReviewedDate,ReviewedBy
234,LQSH-PSST-PM,LQ PL Oatmeal Soothing Shampoo PM,8.44,8.76,6.0,8.0,LV63,6,7000.0,18000.0,"Herbaceous, Fresh",Viscous,"White, Pearlescent","Off White, Pearlescent",N/A,Opaque,P,14.28,21.42,130,170,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
235,LQSH-PSST-PM-R2,**name not found**,8.14,9.0,6.0,8.0,LV63,6,6000.0,18000.0,"Sweet, Floral, Fruity",Viscous Liquid,"White, Pearlescent","Off-White, Pearlescent",N/A,Opaque,L,11.84,21.89,110,150,105,145,8.5727,NB Ref: PD-003-037,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
236,LQSH-PSST-RT,LQ PL Deodorizing & Soothing Shampoo RT,8.4,8.72,6.0,8.0,LV62,3,2500.0,7000.0,"Herbaceous, Fresh",Viscous,"White, Pearlescent","Off White, Pearlescent",N/A,Opaque,F,9.28,13.92,135,175,130,170,8.56,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
237,LQSH-PSST-RT-R2,**name not found**,8.06,8.92,6.0,8.0,LV62,3,2500.0,7000.0,Herbaceous,Viscous Liquid,"Pearlescent, White","Pearlescent, Off-White",N/A,Opaque,L,7.87,14.61,115,155,105,145,8.49,NB Ref: PD-001-128,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
238,LQSH-PSWS-RT,LQ PL Waterless Shampoo RT,8.15,8.47,6.0,8.0,N/A,N/A,,,"Herbal, Green",Water-thin Liquid,N/A,N/A,Clear,Hazy,P,1.16,2.15,N/A,N/A,N/A,N/A,8.3051,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
239,LQSH-PY-CONC,LQ TropiClean Papaya Coconut Shampoo,8.19,9.06,6.0,8.0,LV63,3,12000.0,23000.0,Fruity,Viscous Liquid,Colorless,Orange,Clear,Hazy,L,11.77,21.87,115,155,111,151,8.62,NB Ref: PD-002-111,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
240,LQSH-PY-RT,LQ Papaya and Coconut Shampoo Retail,8.16,9.02,6.0,8.0,LV63,6,7000.0,14000.0,Fruity,Viscous Liquid,Colorless,Orange,Clear,Hazy,L,7.64,14.18,109,149,104,144,8.59,NB REF: PD-002-110,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
241,LQSH-PYWS,LQ SH Papaya & Coconut Waterless,8.17,8.49,6.5,8.5,N/A,N/A,,,"Fruity, Sweet",Water Thin,N/A,Colorless,Clear,Hazy,F,1.088,1.632,N/A,N/A,N/A,N/A,8.34,copied from LQTR-PYWS,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
242,LQSH-RN-CONC,LQ Spa Lavish Renew Shampoo Concentrate,8.172,9.032,6.0,8.0,LV63,3,11500.0,21000.0,Floral,Viscous Liquid,"Orange, Pearlescent","Orange, Pearlescent",Opaque,Opaque,P,12.59,23.37,117.5,157.5,107.5,147.5,8.6019,NB Reference: PD-003-078,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Avg,1.0,2.0,,,,,,
243,LQSH-RN-RT,LQ Spa Lavish Renew Shampoo Retail,8.168,9.027,6.0,8.0,LV63,3,16000.0,29500.0,Floral,Viscous Liquid,"Orange, Pearlescent","Orange, Pearlescent",Opaque,Opaque,P,9.25,17.19,90,130,80,120,8.5976,NB Reference: PD-003-139,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Avg,1.0,2.0,,,,,,
244,LQSH-RS,SH Rose Water,8.47,8.79,6.0,8.0,LV63,6,7000.0,13000.0,Floral,Viscous,Colorless,Yellow,Clear,Hazy,P,9.87,18.33,118,155,111,151,8.63,5/1/2023 14:48,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
245,LQSH-SBLA,F&S Long Lasting- Lavender Escape Calming SH,8.1814,9.0426,5.55,7.55,LV63,6,6240.0,11600.0,Herbaceous,Viscous Liquid,Colorless,Colorless,Clear,Hazy,L,11,16.5,105,145,100,140,8.612,NB Ref: SH-002-049,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
246,LQSH-SBSSU,F&S Long Lasting- Sweet Summer Deep Cleansing SH,8.2347,9.1015,5.5,8.0,LV63,6,3500.0,12000.0,"Fruity, Floral",Viscous Liquid,Colorless,Slightly Yellow,Clear,Hazy,L,11.24,16.86,100,140,90,130,8.6681,NB Ref: SH-002-047,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
247,LQSH-SBTZ,F&S Long Lasting- Tropical Breeze Odor Defense SH,8.2347,9.1015,5.5,8.0,LV63,6,5000.0,16000.0,"Fruity, Floral",Viscous Liquid,Colorless,Slightly Yellow,Clear,Clear,L,10.94,16.4,100,140,95,135,8.6681,NB Ref: SH-002-066,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
248,LQSH-SC,Tropiclean Mass - 2-IN-1 Shed Control Shampoo & Conditioner,8.1895,9.0516,5.0,7.0,63,6,7000.0,13000.0,"Fruity, Citrus",Viscous ,"White-Off White, Pearlescent",Yellow,Opaque,Opaque,L,10.56,15.68,100,130,90,120,8.6206,,8.6206,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
249,LQSH-SD,LQ SH - Short Double,8.38,8.7,6.0,8.0,LV63,3,12000.0,25000.0,Sweet Citrus,Viscous,Colorless,Tan,Slightly Hazy,Hazy,F,10.232,15.348,105,145,100,140,8.54,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
250,LQSH-SD-R2,LQ Perfect Fur Short Double Coat Shampoo,8.178,9.053,6.0,8.0,LV63,3,12500.0,24000.0,Citrus,Viscous Liquid,Colorless,Yellow-Brown,Hazy,Hazy,P,8.62,16,105,145,100,140,8.6154,NB Reference: PD-001-035,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Averaging,1.0,2.0,,,,,,
251,LQSH-SK,LQ Deodorizing Skunk SH,8.4654,8.7654,6.0,8.0,LV63,30,1308.0,6500.0,"Gourmand, Almond, Linen",Viscous Liquid,Colorless,Light Yellow,Clear,Clear,L,19.4,20.4,130,153,122,140,8.6154,Ref: CK-009-141,,,,,,,,,,,,,,,,
252,LQSH-SM,LQ SH - Smooth,8.38,8.7,6.0,8.0,LV63,3,14000.0,28000.0,Sweet Citrus,Viscous,Colorless,Tan,Slightly Hazy,Hazy,P,10.352,15.528,125,165,120,160,8.54,copied from LQPF-SMSH,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
253,LQSH-SM-HCONC,LQ HC Sweet Mandarin Shampoo,8.11,8.97,6.0,8.0,LV63,6,7000.0,16000.0,Citrus,Viscous Liquid,Colorless,Yellow,Clear,Hazy,L,14.35,26.65,130,170,125,165,8.54,NB REF: PD-002-027,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
254,LQSH-SM-R2,LQ Perfect Fur Smooth Coat Shampoo,8.179,9.04,6.0,8.0,LV63,3,14000.0,25500.0,Citrus,Viscous Liquid,Colorless,Yellow-Brown,Hazy,Hazy,P,8.77,16.29,115,155,105,145,8.6097,NB Reference: PD-002-089,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Averaging,1.0,2.0,,,,,,
255,LQSH-SN,LQ FS Sensitive Skin Hypo-Allergenic Sh,8.17,9.03,6.0,8.0,LV63,6,5000.0,15000.0,Floral,Viscous Liquid,Colorless,Yellow,Clear,Hazy,L,7.88,14.63,105,145,N/A,95,8.6009,NB Ref: PD-003-117,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
256,LQSH-ST,LQ Shampoo Essentials - Shea Butter,8.33,8.67,6.0,6.5,LV63,3,8000.0,32500.0,"Sweet, Musk",Thick Liquid,White,Off-white,Translucent,Opaque,F,7.4,14.7,133,143,N/A,N/A,8.4955,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
257,LQSH-SW,LQ SH Spring Showers SOM March/Apr,8.47,8.81,6.0,8.0,LV63,3,7900.0,14800.0,Fresh Rain ,Semi-Viscous Liquid ,Colorless,Yellow,Clear,Hazy,P,12.03,23.36,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
258,LQSH-TD,LQ SH - Thick Double,8.38,8.7,6.0,8.0,LV63,3,8000.0,18000.0,Sweet Citrus,Viscous,Colorless,Tan,Slightly Hazy,Hazy,F,10.48,15.72,120,160,110,150,8.54,copied from LQPF-TDSH,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
259,LQSH-TD-R2,LQ Perfect Fur Thick Double Coat Shampoo,8.174,9.034,6.0,8.0,LV63,3,8000.0,18000.0,Citrus,Viscous Liquid,Colorless,Yellow-Brown,Hazy,Hazy,P,9.18,17.06,102.5,142.5,92.5,132.5,8.6042,NB Reference: PD-003-155,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Averaging,1.0,2.0,,,,,,
260,LQSH-TT-CONC,LQ Oatmeal Tea Tree Shampoo Concentrate,8.2,9.06,3.0,5.0,LV63,6,9500.0,18500.0,Herbaceous,Viscous Liquid,Colorless,Yellow,Clear,Hazy,L,12.13,22.53,130,170,120,160,8.63,NB REF: PD-001-063,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
261,LQSH-TT-RT,LQ Oatmeal and Tea Tree Shampoo Retail,8.18,9.04,3.0,5.0,LV63,6,8000.0,15600.0,Herbaceous,Viscous Liquid,Colorless,Yellow,Clear,Hazy,P,8.66,16.08,117,157,109,149,8.61,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
262,LQSH-TXCG,LQ Shampoo Texture Theory Cleansing,8.33,8.64,5.0,6.0,LV63,1.5,32000.0,48000.0,"Fruity, Berry",Viscous,N/A,White,N/A,Opaque,P,10,13,N/A,N/A,N/A,N/A,8.42001,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
263,LQSH-WA,SH Watermelon,8.59,9.06,6.0,8.0,LV63,6,7000.0,15000.0,Fruity,Viscous,Colorless,Yellow,Clear,Hazy,P,9.59,17.81,118,158,110,130,8.63,5/15/2023 8:12,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
264,LQSH-WA-CONC,SH Watermelon Concentrate,8.1508,9.0088,6.0,8.0,LV63,3,10000.0,25000.0,Fruity,Viscous Liquid,Colorless,Colorless,Clear,Clear,L,13.544,20.316,115,155,105,145,8.5798,NB ref: SH-002-160,8.5798,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
265,LQSH-WAWS,Tropiclean Watermelon Waterless Shampoo,7.903,8.7348,6.5,8.5,,,,,"Fruity, Watermelon",Water Thin,N/A,Colorless,Clear,Hazy,L,1.071,1.989,N/A,N/A,N/A,N/A,8.3189,,BW-003-067,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
266,LQSH-WC-CONC,LQ Spa Lavish White Coat Shampoo Concentrate,8.174,9.034,5.0,7.0,LV63,3,10500.0,22000.0,Floral,Viscous Liquid,"Blue, Pearlescent","Blue, Pearlescent",Opaque,Opaque,P,12.63,23.45,115,155,106,146,8.604,NB Reference: PD-003-077,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Avg,1.0,2.0,,,,,,
267,LQSH-WC-RT,LQ Spa Lavish White Coat Shampoo Retail,8.155,9.013,6.0,8.0,LV63,3,12500.0,23000.0,Floral,Viscous Liquid,"Blue, Pearlescent","Blue, Pearlescent",Opaque,Opaque,P,9.11,16.91,102.5,142.5,97.5,137.5,8.5838,NB Reference: PD-003-145,,0.0,100.0,0.0,10.0,0.0,10.0,Single Point Avg,1.0,2.0,,,,,,
268,LQSH-WHT,LQ Spirulina Whitening SH,8.4719,8.7719,6.0,8.0,63,6,4656.0,6984.0,"Aquatic, Fresh",Viscous Liquid,Light Blue,Purple,Opaque,Opaque,L,11.5,12.5,,,,,8.6219,Ref: CK-009-146,,,,,,,,,,,,,,,,
269,LQSH-YF,LQ Shampoo Essentials - Yuzu Fruit,8.33,8.68,6.0,6.5,LV63,3,10000.0,37000.0,"Citrus, Sweet",Thick Liquid,Colorless,Yellow,Clear,Hazy,F,8,14.9,133,143,N/A,N/A,8.5057,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
270,LQSP-BEOC,LQ- Oral Care Spray Berry Fresh for Dogs,8.49,8.81,3.0,4.0,N/A,N/A,,,"Fruity, Fresh",Water Thin,Colorless,Pale Yellow,Clear,Clear,P,15.68,23.52,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
271,LQSP-CI,LQ SP Citrus Splash SOM May/Jun,8.09,8.43,6.0,8.0,N/A,N/A,,,"Sweet, Citrus",Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,P,0.88,1.64,,,,,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
272,LQSP-CMSH,LQ Spa Lavish Comfort Shampoo,8.48,8.8,5.0,7.0,LV63,2.5,10000.0,22000.0,Fruity,Liquid,N/A,Green,N/A,Opaque,F,16.70,25.04,125,165,115,155,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
273,LQSP-CMSH-RT,LQ Spa Lavish Comfort Shampoo Retail,8.46,8.78,6.3,7.3,LV63,2.5,7000.0,22000.0,Fruity,Liquid,N/A,Green,N/A,Opaque,F,13.33,19.99,135,175,125,165,8.6,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
